ADDRESS,ADDRESSLINE1,ADDRESSLINE2,CITY,City_State,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTNAME,COUNTRY,CUSTOMERNAME,DEALSIZE,MONTH,MONTH_ID,ORDERDATE,PHONE,POSTALCODE,PRODUCTCODE,PRODUCTLINE,QTR_ID,STATE,STATUS,TERRITORY,YEAR_ID,MSRP,ORDERLINENUMBER,ORDERNUMBER,PRICEEACH,QUANTITYORDERED,SALES
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Large,September,9,28-09-2003 00:00:00,(91) 555 94 44,28034,S12_3891,Classic Cars,3,,Shipped,EMEA,2003,173,10,10153,100,49,7036.89
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  Singapore  79903 Singapore","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Singapore ,Eric,Natividad,Eric Natividad,Singapore,"Dragon Souveniers, Ltd.",Medium,October,10,22-10-2003 00:00:00,+65 221 7555,79903,S12_3891,Classic Cars,4,,Shipped,Japan,2003,173,2,10165,100,27,5559.03
Strada Provinciale 124  Reggio Emilia  42100 Italy,Strada Provinciale 124,,Reggio Emilia,Reggio Emilia ,Maurizio,Moroni,Maurizio Moroni,Italy,L'ordine Souveniers,Large,November,11,06-11-2003 00:00:00,0522-556555,42100,S12_3891,Classic Cars,4,,Shipped,EMEA,2003,173,1,10176,100,50,7872.5
4575 Hillside Dr.  New Bedford MA 50553 USA,4575 Hillside Dr.,,New Bedford,New Bedford MA,Wing C,Tam,Wing C Tam,USA,Mini Creations Ltd.,Large,November,11,14-11-2003 00:00:00,5085559555,50553,S12_3891,Classic Cars,4,MA,Shipped,NA,2003,173,12,10185,100,43,7886.2
567 North Pendale Street  New Haven CT 97823 USA,567 North Pendale Street,,New Haven,New Haven CT,Leslie,Murphy,Leslie Murphy,USA,Super Scale Inc.,Large,November,11,26-11-2003 00:00:00,2035559545,97823,S12_3891,Classic Cars,4,CT,Shipped,NA,2003,173,4,10196,100,38,7232.16
"2, rue du Commerce  Lyon  69004 France","2, rue du Commerce",,Lyon,Lyon ,Mary,Saveley,Mary Saveley,France,"Saveley & Henriot, Co.",Medium,January,1,02-01-2004 00:00:00,78.32.5555,69004,S12_3891,Classic Cars,1,,Shipped,EMEA,2004,173,12,10208,100,20,3114.4
25 Maiden Lane Floor No. 4 Dublin  2 Ireland,25 Maiden Lane,Floor No. 4,Dublin,Dublin ,Dean,Cassidy,Dean Cassidy,Ireland,"Clover Collections, Co.",Medium,February,2,12-02-2004 00:00:00,+353 1862 1555,2,S12_3891,Classic Cars,1,,Shipped,EMEA,2004,173,1,10220,100,27,5045.22
"Merchants House, 27-30 Merchant's Quay  Madrid  28023 Spain","Merchants House, 27-30 Merchant's Quay",,Madrid,Madrid ,Jesus,Fernandez,Jesus Fernandez,Spain,CAF Imports,Medium,March,3,19-03-2004 00:00:00,+34 913 728 555,28023,S12_3891,Classic Cars,1,,Shipped,EMEA,2004,173,1,10231,100,49,6952.12
"Software Engineering Center, SEC Oy  Espoo  FIN-02271 Finland","Software Engineering Center, SEC Oy",,Espoo,Espoo ,Kalle,Suominen,Kalle Suominen,Finland,Suominen Souveniers,Medium,May,5,05-05-2004 00:00:00,+358 9 8045 555,FIN-02271,S12_3891,Classic Cars,2,,Shipped,EMEA,2004,173,1,10247,100,27,4157.73
7586 Pompton St.  Allentown PA 70267 USA,7586 Pompton St.,,Allentown,Allentown PA,Kyung,Yu,Kyung Yu,USA,Diecast Classics Inc.,Large,July,7,20-07-2004 00:00:00,2155551555,70267,S12_3891,Classic Cars,3,PA,Shipped,NA,2004,173,1,10272,100,39,7962.24
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Medium,August,8,20-08-2004 00:00:00,4155551450,97562,S12_3891,Classic Cars,3,CA,Shipped,NA,2004,173,4,10282,100,24,3778.8
Via Monte Bianco 34  Torino  10100 Italy,Via Monte Bianco 34,,Torino,Torino ,Paolo,Accorti,Paolo Accorti,Italy,Amica Models & Co.,Large,September,9,09-09-2004 00:00:00,011-4988555,10100,S12_3891,Classic Cars,3,,Shipped,EMEA,2004,173,7,10293,100,45,8253
Fauntleroy Circus  Manchester  EC2 5NT UK,Fauntleroy Circus,,Manchester,Manchester ,Victoria,Ashworth,Victoria Ashworth,UK,"AV Stores, Co.",Medium,October,10,14-10-2004 00:00:00,(171) 555-1555,EC2 5NT,S12_3891,Classic Cars,4,,Shipped,EMEA,2004,173,12,10306,100,20,3633.4
Smagsloget 45  Aaarhus  8200 Denmark,Smagsloget 45,,Aaarhus,Aaarhus ,Palle,Ibsen,Palle Ibsen,Denmark,Heintze Collectables,Medium,October,10,22-10-2004 00:00:00,86 21 3555,8200,S12_3891,Classic Cars,4,,Shipped,EMEA,2004,173,4,10314,100,36,6913.8
Erling Skakkes gate 78  Stavern  4110 Norway,Erling Skakkes gate 78,,Stavern,Stavern ,Jonas,Bergulfsen,Jonas Bergulfsen,Norway,Baane Mini Imports,Small,November,11,05-11-2004 00:00:00,07-98 9555,4110,S12_3891,Classic Cars,4,,Shipped,EMEA,2004,173,1,10325,100,24,2583.6
"265, boulevard Charonne  Paris  75012 France","265, boulevard Charonne",,Paris,Paris ,Marie,Bertrand,Marie Bertrand,France,"La Corne D'abondance, Co.",Medium,November,11,20-11-2004 00:00:00,(1) 42.34.2555,75012,S12_3891,Classic Cars,4,,Shipped,EMEA,2004,173,1,10336,63.38,49,3105.62
4092 Furth Circle Suite 400 NYC NY 10022 USA,4092 Furth Circle,Suite 400,NYC,NYC NY,Jeff,Young,Jeff Young,USA,Muscle Machine Inc,Medium,December,12,01-12-2004 00:00:00,2125557413,10022,S12_3891,Classic Cars,4,NY,Shipped,NA,2004,173,10,10349,100,26,4408.56
59 rue de l'Abbaye  Reims  51100 France,59 rue de l'Abbaye,,Reims,Reims ,Paul,Henriot,Paul Henriot,France,Reims Collectables,Medium,December,12,15-12-2004 00:00:00,26.47.1555,51100,S12_3891,Classic Cars,4,,Shipped,EMEA,2004,173,5,10359,62.09,49,3042.41
2-2-8 Roppongi  Minato-ku Tokyo 106-0032 Japan,2-2-8 Roppongi,,Minato-ku,Minato-ku Tokyo,Akiko,Shimamura,Akiko Shimamura,Japan,"Tokyo Collectables, Ltd",Medium,January,1,26-01-2005 00:00:00,+81 3 3584 0555,106-0032,S12_3891,Classic Cars,1,Tokyo,Shipped,Japan,2005,173,1,10372,100,34,5941.5
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Medium,February,2,17-02-2005 00:00:00,4155551450,97562,S12_3891,Classic Cars,1,CA,Shipped,NA,2005,173,12,10382,95.35,34,3241.9
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Medium,March,3,23-03-2005 00:00:00,4155551450,97562,S12_3891,Classic Cars,1,CA,Shipped,NA,2005,173,3,10396,100,33,6109.29
25593 South Bay Ln.  Bridgewater CT 97562 USA,25593 South Bay Ln.,,Bridgewater,Bridgewater CT,Julie,King,Julie King,USA,Gift Depot Inc.,Medium,May,5,05-05-2005 00:00:00,2035552570,97562,S12_3891,Classic Cars,2,CT,Shipped,NA,2005,173,1,10413,100,22,3387.78
15 McCallum Street - NatWest Center #13-03  Makati City  1227 MM Philippines,15 McCallum Street - NatWest Center #13-03,,Makati City,Makati City ,Arnold,Cruz,Arnold Cruz,Philippines,Cruz & Sons Co.,Medium,March,3,03-03-2003 00:00:00,+63 2 555 3587,1227 MM,S12_3990,Classic Cars,1,,Shipped,Japan,2003,79,7,10108,89.38,39,3485.82
"12, rue des Bouchers  Marseille  13008 France","12, rue des Bouchers",,Marseille,Marseille ,Laurence,Lebihan,Laurence Lebihan,France,Marseille Mini Autos,Small,May,5,08-05-2003 00:00:00,91.24.4555,13008,S12_3990,Classic Cars,2,,Shipped,EMEA,2003,79,11,10122,63.84,32,2042.88
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Small,July,7,02-07-2003 00:00:00,4155551450,97562,S12_3990,Classic Cars,3,CA,Shipped,NA,2003,79,8,10135,75.01,24,1800.24
7825 Douglas Av.  Brickhaven MA 58339 USA,7825 Douglas Av.,,Brickhaven,Brickhaven MA,Allen,Nelson,Allen Nelson,USA,Collectables For Less Inc.,Small,September,9,05-09-2003 00:00:00,6175558555,58339,S12_3990,Classic Cars,3,MA,Shipped,NA,2003,79,8,10147,63.84,21,1340.64
7734 Strong St.  San Francisco CA  USA,7734 Strong St.,,San Francisco,San Francisco CA,Julie,Brown,Julie Brown,USA,Corporate Gift Ideas Co.,Small,October,10,10-10-2003 00:00:00,6505551386,,S12_3990,Classic Cars,4,CA,Shipped,NA,2003,79,3,10159,73.42,24,1762.08
201 Miller Street Level 15 North Sydney NSW 2060 Australia,201 Miller Street,Level 15,North Sydney,North Sydney NSW,Anna,O'Hara,Anna O'Hara,Australia,"Anna's Decorations, Ltd",Small,November,11,04-11-2003 00:00:00,02 9936 8555,2060,S12_3990,Classic Cars,4,NSW,Shipped,APAC,2003,79,3,10169,63.84,36,2298.24
"Drammen 121, PR 744 Sentrum  Bergen  N 5804 Norway","Drammen 121, PR 744 Sentrum",,Bergen,Bergen ,Veysel,Oeztan,Veysel Oeztan,Norway,Herkku Gifts,Small,November,11,12-11-2003 00:00:00,+47 2267 3215,N 5804,S12_3990,Classic Cars,4,,Shipped,EMEA,2003,79,15,10181,81.4,20,1628
Mehrheimerstr. 369  Koln  50739 Germany,Mehrheimerstr. 369,,Koln,Koln ,Henriette,Pfalzheim,Henriette Pfalzheim,Germany,"Toms Spezialitten, Ltd",Small,November,11,20-11-2003 00:00:00,0221-5554327,50739,S12_3990,Classic Cars,4,,Shipped,EMEA,2003,79,4,10191,64.64,30,1939.2
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,December,12,02-12-2003 00:00:00,(91) 555 94 44,28034,S12_3990,Classic Cars,4,,Shipped,EMEA,2003,79,9,10203,82.99,44,3651.56
"25, rue Lauriston  Paris  75016 France","25, rue Lauriston",,Paris,Paris ,Dominique,Perrier,Dominique Perrier,France,Auto Canal Petit,Small,January,1,15-01-2004 00:00:00,(1) 47.55.6555,75016,S12_3990,Classic Cars,1,,Shipped,EMEA,2004,79,3,10211,92.57,28,2591.96
Grenzacherweg 237  Gensve  1203 Switzerland,Grenzacherweg 237,,Gensve,Gensve ,Michael,Holz,Michael Holz,Switzerland,"Vida Sport, Ltd",Small,February,2,22-02-2004 00:00:00,0897-034555,1203,S12_3990,Classic Cars,1,,Shipped,EMEA,2004,79,10,10225,77.41,37,2864.17
Vinb'ltet 34  Kobenhavn  1734 Denmark,Vinb'ltet 34,,Kobenhavn,Kobenhavn ,Jytte,Petersen,Jytte Petersen,Denmark,Danish Wholesale Imports,Small,April,4,09-04-2004 00:00:00,31 12 3555,1734,S12_3990,Classic Cars,2,,Shipped,EMEA,2004,79,4,10238,74.21,20,1484.2
Berkeley Gardens 12  Brewery  Liverpool  WX1 6LT UK,Berkeley Gardens 12  Brewery,,Liverpool,Liverpool ,Elizabeth,Devon,Elizabeth Devon,UK,"UK Collectables, Ltd.",Small,June,6,01-06-2004 00:00:00,(171) 555-2282,WX1 6LT,S12_3990,Classic Cars,2,,Cancelled,EMEA,2004,79,14,10253,90.17,25,2254.25
Strada Provinciale 124  Reggio Emilia  42100 Italy,Strada Provinciale 124,,Reggio Emilia,Reggio Emilia ,Maurizio,Moroni,Maurizio Moroni,Italy,L'ordine Souveniers,Small,July,7,06-07-2004 00:00:00,0522-556555,42100,S12_3990,Classic Cars,3,,Shipped,EMEA,2004,79,15,10266,76.61,35,2681.35
7635 Spinnaker Dr.  Brickhaven MA 58339 USA,7635 Spinnaker Dr.,,Brickhaven,Brickhaven MA,Miguel,Barajas,Miguel Barajas,USA,Online Mini Collectables,Medium,August,8,02-08-2004 00:00:00,6175557555,58339,S12_3990,Classic Cars,3,MA,Shipped,NA,2004,79,4,10276,83.79,38,3184.02
Grenzacherweg 237  Gensve  1203 Switzerland,Grenzacherweg 237,,Gensve,Gensve ,Michael,Holz,Michael Holz,Switzerland,"Vida Sport, Ltd",Small,August,8,30-08-2004 00:00:00,0897-034555,1203,S12_3990,Classic Cars,3,,Shipped,EMEA,2004,79,13,10287,69.43,41,2846.63
Lyonerstr. 34  Frankfurt  60528 Germany,Lyonerstr. 34,,Frankfurt,Frankfurt ,Roland,Keitel,Roland Keitel,Germany,"Blauer See Auto, Co.",Small,October,10,04-10-2003 00:00:00,+49 69 66 90 2555,60528,S12_3990,Classic Cars,4,,Shipped,EMEA,2003,79,6,10300,76.61,22,1685.42
Mehrheimerstr. 369  Koln  50739 Germany,Mehrheimerstr. 369,,Koln,Koln ,Henriette,Pfalzheim,Henriette Pfalzheim,Germany,"Toms Spezialitten, Ltd",Medium,October,10,16-10-2004 00:00:00,0221-5554327,50739,S12_3990,Classic Cars,4,,Shipped,EMEA,2004,79,11,10310,81.4,49,3988.6
Berguvsv„gen  8  Lule  S-958 22 Sweden,Berguvsv„gen  8,,Lule,Lule ,Christina,Berglund,Christina Berglund,Sweden,"Volvo Model Replicas, Co",Small,November,11,03-11-2004 00:00:00,0921-12 3555,S-958 22,S12_3990,Classic Cars,4,,Shipped,EMEA,2004,79,4,10320,73.42,38,2789.96
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Medium,November,11,15-11-2004 00:00:00,2125557818,10022,S12_3990,Classic Cars,4,NY,Shipped,NA,2004,79,14,10329,100,33,3607.56
Geislweg 14  Salzburg  5020 Austria,Geislweg 14,,Salzburg,Salzburg ,Georg,Pipps,Georg Pipps,Austria,Salzburg Collectables,Medium,November,11,24-11-2004 00:00:00,6562-9555,5020,S12_3990,Classic Cars,4,,Shipped,EMEA,2004,79,10,10341,93.56,36,3368.16
"Software Engineering Center, SEC Oy  Espoo  FIN-02271 Finland","Software Engineering Center, SEC Oy",,Espoo,Espoo ,Kalle,Suominen,Kalle Suominen,Finland,Suominen Souveniers,Small,January,1,06-01-2005 00:00:00,+358 9 8045 555,FIN-02271,S12_3990,Classic Cars,1,,Shipped,EMEA,2005,79,5,10363,81.62,34,2775.08
Keskuskatu 45  Helsinki  21240 Finland,Keskuskatu 45,,Helsinki,Helsinki ,Matti,Karttunen,Matti Karttunen,Finland,"Toys of Finland, Co.",Small,February,2,09-02-2005 00:00:00,90-224 8555,21240,S12_3990,Classic Cars,1,,Shipped,EMEA,2005,79,5,10377,67.83,24,1627.92
?kergatan 24  Boras  S-844 67 Sweden,?kergatan 24,,Boras,Boras ,Maria,Larsson,Maria Larsson,Sweden,Scandinavian Gift Ideas,Small,March,3,03-03-2005 00:00:00,0695-34 6555,S-844 67,S12_3990,Classic Cars,1,,Shipped,EMEA,2005,79,7,10389,70.26,36,2529.36
Geislweg 14  Salzburg  5020 Austria,Geislweg 14,,Salzburg,Salzburg ,Georg,Pipps,Georg Pipps,Austria,Salzburg Collectables,Medium,May,5,17-05-2005 00:00:00,6562-9555,5020,S12_3990,Classic Cars,2,,Shipped,EMEA,2005,79,14,10419,90.17,34,3065.78
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,January,1,31-01-2003 00:00:00,(91) 555 94 44,28034,S12_4473,Trucks and Buses,1,,Shipped,EMEA,2003,118,9,10104,100,41,4615.78
5905 Pompton St. Suite 750 NYC NY 10022 USA,5905 Pompton St.,Suite 750,NYC,NYC NY,Maria,Hernandez,Maria Hernandez,USA,Classic Legends Inc.,Medium,April,4,04-04-2003 00:00:00,2125558493,10022,S12_4473,Trucks and Buses,2,NY,Shipped,NA,2003,118,5,10115,100,46,5723.78
4092 Furth Circle Suite 400 NYC NY 10022 USA,4092 Furth Circle,Suite 400,NYC,NYC NY,Jeff,Young,Jeff Young,USA,Muscle Machine Inc,Small,June,6,03-06-2003 00:00:00,2125557413,10022,S12_4473,Trucks and Buses,2,NY,Shipped,NA,2003,118,11,10127,100,24,2559.6
"Software Engineering Center, SEC Oy  Espoo  FIN-02271 Finland","Software Engineering Center, SEC Oy",,Espoo,Espoo ,Kalle,Suominen,Kalle Suominen,Finland,Suominen Souveniers,Small,August,8,01-08-2003 00:00:00,+358 9 8045 555,FIN-02271,S12_4473,Trucks and Buses,3,,Shipped,EMEA,2003,118,5,10141,100,21,2140.11
Torikatu 38  Oulu  90110 Finland,Torikatu 38,,Oulu,Oulu ,Pirkko,Koskitalo,Pirkko Koskitalo,Finland,"Oulu Toy Supplies, Inc.",Medium,September,9,21-09-2003 00:00:00,981-443655,90110,S12_4473,Trucks and Buses,3,,Shipped,EMEA,2003,118,3,10151,100,24,3327.6
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  Singapore  79903 Singapore","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Singapore ,Eric,Natividad,Eric Natividad,Singapore,"Dragon Souveniers, Ltd.",Medium,October,10,22-10-2003 00:00:00,+65 221 7555,79903,S12_4473,Trucks and Buses,4,,Shipped,Japan,2003,118,12,10165,100,48,6825.6
35 King George  London  WX3 6FW UK,35 King George,,London,London ,Ann,Brown,Ann Brown,UK,"Stylish Desk Decors, Co.",Medium,November,11,06-11-2003 00:00:00,(171) 555-0297,WX3 6FW,S12_4473,Trucks and Buses,4,,Shipped,EMEA,2003,118,1,10175,100,26,3543.28
"C/ Romero, 33  Sevilla  41101 Spain","C/ Romero, 33",,Sevilla,Sevilla ,Jose Pedro,Roel,Jose Pedro Roel,Spain,"Iberia Gift Imports, Corp.",Medium,November,11,14-11-2003 00:00:00,(95) 555 82 82,41101,S12_4473,Trucks and Buses,4,,Shipped,EMEA,2003,118,6,10184,100,37,4516.22
3758 North Pendale Street  White Plains NY 24067 USA,3758 North Pendale Street,,White Plains,White Plains NY,Steve,Frick,Steve Frick,USA,Mini Classics,Medium,November,11,25-11-2003 00:00:00,9145554562,24067,S12_4473,Trucks and Buses,4,NY,Shipped,NA,2003,118,6,10195,100,49,6445.46
6251 Ingle Ln.  Boston MA 51003 USA,6251 Ingle Ln.,,Boston,Boston MA,Valarie,Franco,Valarie Franco,USA,Diecast Collectables,Medium,December,12,09-12-2003 00:00:00,6175552555,51003,S12_4473,Trucks and Buses,4,MA,Shipped,NA,2003,118,7,10207,99.54,34,3384.36
2793 Furth Circle  Brisbane CA 94217 USA,2793 Furth Circle,,Brisbane,Brisbane CA,Sue,Taylor,Sue Taylor,USA,Signal Collectibles Ltd.,Medium,February,2,10-02-2004 00:00:00,4155554312,94217,S12_4473,Trucks and Buses,1,CA,Shipped,NA,2004,118,2,10219,100,48,4891.68
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Medium,March,3,11-03-2004 00:00:00,4155551450,97562,S12_4473,Trucks and Buses,1,CA,Shipped,NA,2004,118,1,10229,100,36,4521.96
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,May,5,05-05-2004 00:00:00,(91) 555 94 44,28034,S12_4473,Trucks and Buses,2,,Shipped,EMEA,2004,118,5,10246,100,46,5069.66
Village Close - 106 Linden Road Sandown 2nd Floor Singapore  69045 Singapore,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,Singapore ,Wendy,Victorino,Wendy Victorino,Singapore,Handji Gifts& Co,Medium,June,6,15-06-2004 00:00:00,+65 224 1555,69045,S12_4473,Trucks and Buses,2,,Shipped,APAC,2004,118,4,10259,100,46,6541.2
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Medium,July,7,20-07-2004 00:00:00,4155551450,97562,S12_4473,Trucks and Buses,3,CA,Shipped,NA,2004,118,5,10271,97.17,31,3012.27
7586 Pompton St.  Allentown PA 70267 USA,7586 Pompton St.,,Allentown,Allentown PA,Kyung,Yu,Kyung Yu,USA,Diecast Classics Inc.,Medium,August,8,19-08-2004 00:00:00,2155551555,70267,S12_4473,Trucks and Buses,3,PA,Shipped,NA,2004,118,1,10281,100,41,5247.18
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Small,September,9,08-09-2004 00:00:00,2125557818,10022,S12_4473,Trucks and Buses,3,NY,Shipped,NA,2004,118,8,10292,100,21,2214.87
39323 Spinnaker Dr.  Cambridge MA 51247 USA,39323 Spinnaker Dr.,,Cambridge,Cambridge MA,Marta,Hernandez,Marta Hernandez,USA,Marta's Replicas Co.,Medium,October,10,13-10-2004 00:00:00,6175558555,51247,S12_4473,Trucks and Buses,4,MA,Shipped,NA,2004,118,5,10305,100,38,4773.18
Smagsloget 45  Aaarhus  8200 Denmark,Smagsloget 45,,Aaarhus,Aaarhus ,Palle,Ibsen,Palle Ibsen,Denmark,Heintze Collectables,Medium,October,10,22-10-2004 00:00:00,86 21 3555,8200,S12_4473,Trucks and Buses,4,,Shipped,EMEA,2004,118,14,10314,100,45,6185.7
2678 Kingston Rd. Suite 101 NYC NY 10022 USA,2678 Kingston Rd.,Suite 101,NYC,NYC NY,Michael,Frick,Michael Frick,USA,Vitachrome Inc.,Small,November,11,05-11-2004 00:00:00,2125551500,10022,S12_4473,Trucks and Buses,4,NY,Shipped,NA,2004,118,7,10324,58.38,26,1517.88
"265, boulevard Charonne  Paris  75012 France","265, boulevard Charonne",,Paris,Paris ,Marie,Bertrand,Marie Bertrand,France,"La Corne D'abondance, Co.",Medium,November,11,20-11-2004 00:00:00,(1) 42.34.2555,75012,S12_4473,Trucks and Buses,4,,Shipped,EMEA,2004,118,3,10336,100,38,6372.6
4092 Furth Circle Suite 400 NYC NY 10022 USA,4092 Furth Circle,Suite 400,NYC,NYC NY,Jeff,Young,Jeff Young,USA,Muscle Machine Inc,Medium,December,12,01-12-2004 00:00:00,2125557413,10022,S12_4473,Trucks and Buses,4,NY,Shipped,NA,2004,118,9,10349,100,48,5232.96
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Small,December,12,10-12-2004 00:00:00,(91) 555 94 44,28034,S12_4473,Trucks and Buses,4,,Shipped,EMEA,2004,118,9,10358,64.16,42,2694.72
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Small,January,1,23-01-2005 00:00:00,4155551450,97562,S12_4473,Trucks and Buses,1,CA,Shipped,NA,2005,118,4,10371,35.71,49,1749.79
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Small,February,2,17-02-2005 00:00:00,4155551450,97562,S12_4473,Trucks and Buses,1,CA,Shipped,NA,2005,118,13,10382,66.58,32,2130.56
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,May,5,03-05-2005 00:00:00,(91) 555 94 44,28034,S12_4473,Trucks and Buses,2,,Shipped,EMEA,2005,118,5,10412,100,54,5951.34
"67, rue des Cinquante Otages  Nantes  44000 France","67, rue des Cinquante Otages",,Nantes,Nantes ,Janine,Labrune,Janine Labrune,France,La Rochelle Gifts,Medium,May,5,31-05-2005 00:00:00,40.67.8555,44000,S12_4473,Trucks and Buses,2,,In Process,EMEA,2005,118,4,10425,100,33,4692.6
15 McCallum Street - NatWest Center #13-03  Makati City  1227 MM Philippines,15 McCallum Street - NatWest Center #13-03,,Makati City,Makati City ,Arnold,Cruz,Arnold Cruz,Philippines,Cruz & Sons Co.,Medium,March,3,03-03-2003 00:00:00,+63 2 555 3587,1227 MM,S12_4675,Classic Cars,1,,Shipped,Japan,2003,115,3,10108,100,36,3731.04
"12, rue des Bouchers  Marseille  13008 France","12, rue des Bouchers",,Marseille,Marseille ,Laurence,Lebihan,Laurence Lebihan,France,Marseille Mini Autos,Small,May,5,08-05-2003 00:00:00,91.24.4555,13008,S12_4675,Classic Cars,2,,Shipped,EMEA,2003,115,7,10122,100,20,2142
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Small,July,7,02-07-2003 00:00:00,4155551450,97562,S12_4675,Classic Cars,3,CA,Shipped,NA,2003,115,4,10135,97.89,29,2838.81
7825 Douglas Av.  Brickhaven MA 58339 USA,7825 Douglas Av.,,Brickhaven,Brickhaven MA,Allen,Nelson,Allen Nelson,USA,Collectables For Less Inc.,Medium,September,9,05-09-2003 00:00:00,6175558555,58339,S12_4675,Classic Cars,3,MA,Shipped,NA,2003,115,4,10147,97.89,33,3230.37
6047 Douglas Av.  Los Angeles CA  USA,6047 Douglas Av.,,Los Angeles,Los Angeles CA,Michael,Chandler,Michael Chandler,USA,"Men 'R' US Retailers, Ltd.",Medium,October,10,11-10-2003 00:00:00,2155554369,,S12_4675,Classic Cars,4,CA,Shipped,NA,2003,115,5,10160,100,50,5182
Kirchgasse 6  Graz  8010 Austria,Kirchgasse 6,,Graz,Graz ,Roland,Mendel,Roland Mendel,Austria,Mini Auto Werke,Medium,November,11,04-11-2003 00:00:00,7675-3555,8010,S12_4675,Classic Cars,4,,Shipped,EMEA,2003,115,3,10170,100,41,4391.1
"Drammen 121, PR 744 Sentrum  Bergen  N 5804 Norway","Drammen 121, PR 744 Sentrum",,Bergen,Bergen ,Veysel,Oeztan,Veysel Oeztan,Norway,Herkku Gifts,Medium,November,11,12-11-2003 00:00:00,+47 2267 3215,N 5804,S12_4675,Classic Cars,4,,Shipped,EMEA,2003,115,11,10181,100,36,4477.32
2304 Long Airport Avenue  Nashua NH 62005 USA,2304 Long Airport Avenue,,Nashua,Nashua NH,Valarie,Young,Valarie Young,USA,Online Diecast Creations Co.,Medium,November,11,20-11-2003 00:00:00,6035558647,62005,S12_4675,Classic Cars,4,NH,Shipped,NA,2003,115,16,10192,100,27,3544.56
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,December,12,02-12-2003 00:00:00,(91) 555 94 44,28034,S12_4675,Classic Cars,4,,Shipped,EMEA,2003,115,5,10203,100,47,5195.85
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,January,1,16-01-2004 00:00:00,(91) 555 94 44,28034,S12_4675,Classic Cars,1,,Shipped,EMEA,2004,115,15,10212,100,33,4180.44
